Ray Number,Pos X,Pos Y,Pos Z,Cos X,Cos Y,Cos Z,Element,Event
169,25.3451595306,-26.0024204254,28.6237277985,0,0,0,-1,CREATE
169,25.2035255432,15.6354417801,0.0656976625323,0,0,0,63,REFLECT
170,-22.8184967041,-26.9172801971,27.3223953247,0,0,0,-1,CREATE
170,-22.7266159058,14.5650482178,-0.792687833309,0,0,0,121,REFLECT
171,-1.12699782848,-3.61114096642,61.4843482971,0,0,0,-1,CREATE
171,-1.13576209545,1.31266205017e-07,59.0110359192,0,0,0,127,ABSORB
172,-13.1778306961,-22.8812274933,33.2334747314,0,0,0,-1,CREATE
172,-13.2368211746,25.814245224,-0.242402717471,0,0,0,90,REFLECT
173,12.5306100845,-22.6471786499,33.5551719666,0,0,0,-1,CREATE
173,12.5729513168,26.7232551575,-0.0203144587576,0,0,0,37,REFLECT
174,-3.26936864853,-1.59583199024,64.4417419434,0,0,0,-1,CREATE
174,-3.27037978172,4.49985861906e-08,63.3548469543,0,0,0,127,ABSORB
175,-0.0558133460581,-4.45078277588,60.2520561218,0,0,0,-1,CREATE
175,-0.0430253297091,-1.37265317335e-07,57.2341003418,0,0,0,127,ABSORB
176,16.8153514862,-24.1576156616,31.3364143372,0,0,0,-1,CREATE
176,16.678150177,23.383266449,-1.09092879295,0,0,0,51,REFLECT
177,2.35435366631,-20.579000473,36.5968360901,0,0,0,-1,CREATE
177,2.52229857445,31.462890625,0.881267011166,0,0,0,11,ABSORB
178,-28.1744232178,-25.0712375641,30.0342407227,0,0,0,-1,CREATE
178,-28.109292984,17.0891876221,1.27090501785,0,0,0,103,REFLECT
179,15.2085704803,-21.4700489044,35.2792701721,0,0,0,-1,CREATE
